Lake_Name,Collected_By,Sampling year,General_Location,Latitude,Longitude,Lake_volume_m3,Lake_volume_estimate,pH,Secchi_depth,Total_phosphorus,Area_ha,pLittoral,Shoreline_km,Perimeter_km,Depth_Max,Depth_Mn,DD5_8110,Sampling month,month_air_temp_max,month_air_temp,Summer_air_temp_max,Summer_Air_Temp,SDI,Pelagic_FF,Dev_Index,pLittoral_4m,Notes,Weather station
Abbess,Tyler/MNR,2010,BSM,48.68028,-91.6828,16958727.78,1745.754044,6.58,,9,134.2887726,0.2741935486,14.83098,10.21781067,37.2,13,1595,June,20.6,14.841222,23.593333,17.32908167,3.61031577,Y,2.487328,0.2558,,
Argo,Tyler/MNR,2010,BSM,48.25694,-91.8039,186732449.2,18986.83983,6.55,8,6.6,939.9425659,0.1755274704,46.38531,31.1971175,55.5,20.2,1580,Aug,25.3,18.625174,23.946667,17.67999288,4.26800458,Y,2.8705088,0.1567,,
Atikwa,Tyler/MNR,2010,BSM,49.46472,-93.5486,666670537.2,68593.78066,7.21,4.5,6.3,5196.498535,0.2421729826,370.5944,234.5594431,59.5,13.2,1705,Aug,24.3,18.964659,23.4,17.13300842,14.5023547,Y,9.1789411,0.2106,,
Aux_Dores,Tyler/MNR,2009,Quebec,47.98255,-72.2678,,,6.1,2.8,,60,,,5.92,,,,,,,,16.933,,,2.156,,not 100% positive of year sampled,ROBERVAL A QUEBEC Weather StationID 5934
Aylen,Tyler/MNR,2008,BSM,45.61333,-77.8486,480341260.2,47352.87598,6.93,5.5,3.5,2104.572266,0.12316,56.32673,50.79980973,67.1,22.5,1772,July,24.5,18.404068,23.593333,17.2159662,3.46359962,Y,3.1237425,0.1054,,
Beaverhouse,Tyler/MNR,2010,BSM,48.54333,-92.1025,426409850.1,43632.36456,6.91,3.75,4.8,1956.608276,0.1590842002,91.19963,67.05266933,64.7,22.3,1610,June,21.2,14.887522,24.096667,17.48042247,5.81615786,Y,4.2762117,0.1417,,
Bell,Tyler/MNR,2009,BSM,49.81056,-90.915,374258240.4,39536.64355,7.24,3.25,5,4161.751953,0.310461435,194.876,129.1494325,34.4,9.5,1520,June,19.9,14.659493,20.29,13.63664134,8.5214873,Y,5.647412,0.2856,,
Big,Tyler/MNR,,Northern,,,,,,,,,,,,,,,,,,,,,,,,**lacking info ,
Big_Rideaux,Tyler/MNR,2009,BSM,44.77083,-76.2128,545661873.1,56382.56338,7.92,8.15,6.1,4583.948242,0.431979766,226.2404,156.4904992,100,12.3,2133,Aug,25.2,19.465206,23.763333,16.82636345,9.42639078,Y,6.5202341,0.3965,,
Birch,Tyler/MNR,2009,BSM,51.40694,-92.3506,811749325.6,86013.234,7.24,3.4,9,11623.41,0.383658,571.2696,350.1358,37,7.4,1477,July,19.3,14.861002,19.343333,13.53517012,14.9475276,Y,9.1614622,0.3446,,
Bluffpoint,Tyler/MNR,2010,BSM,49.17472,-93.3767,50388901.87,5238.896851,7.08,3.74,7.5,503.7400818,0.335829493,41.75214,32.6766233,38.1,10.4,1688,July,25.5,19.827885,23.66,17.30872201,5.2477186,Y,4.1070405,0.2997,,
Borbeau,Tyler/MNR,2009,Quebec,49.9641,-79.164,,,,,,524,,,28.582,,,,,,,,15.067,,,3.522,,**lacking info - obtained area and perimeter from QGIS - not 100% positive of year sampled,CHIBOUGAMAU CHAPAIS A QUEBEC Weather StationID 6029
Burntroot,Rebecca,2007,Algonquin,45.8606,-78.6845,,8592.1,,3.62,,1177,,,46.3,19.9,7.3,,July,,,,16.50863,,Y,3.9638859,0.208,,
Cache,Tyler/MNR,2009,Quebec,,,,,,,,,,,,,,,,,,,,,,,,,
Canoe,Rebecca,2007,Algonquin,45.53333,-78.7167,,4627.98,,4.36,,367.3,,,22,42.7,12.6,,June,,16.718035,,16.908704,,Y,3.3436679,0.3108,,
