"","Lake_Name","SEAc","dY_range","dX_range","TA","CD","NND","SDNND"
"1","Abbess",0.0555263353308559,0.88745623495267,0.260894493063158,0.137469696434974,0.211453568408356,0.0709459981522253,0.0418771846165588
"2","Argo",0.114650621694107,0.66946598878245,0.756677683310499,0.343406949284205,0.226491148236273,0.123842309810496,0.076267197561444
"3","Atikwa",0.126345289069196,0.86485303697954,0.753106895124456,0.30385948044079,0.246329481077312,0.100597583817811,0.127990029290141
"4","Aylen",0.0361390897062404,1.49996908226579,0.147677754384027,0.0968364724312247,0.268240255361529,0.0674043014776972,0.103711834084466
"5","Bad Vermilion",0.0465254496117937,0.43084399446774,0.416972814107274,0.0839753425249605,0.146393591573873,0.0806930121575738,0.045208865606692
"6","Beaverhouse",0.0255690264986177,0.78740605671737,0.109477237706596,0.0643128494671221,0.226906531044696,0.0468290481985656,0.025832477000477
"7","Bell",0.0376053806378205,0.494122496319791,0.317431481893182,0.0984381692779479,0.14582663160858,0.0408617487264411,0.0343471973230856
"8","Bending",0,0.62864215816914,0,8.67361737988404e-19,0.153010353235496,0.096145439818385,0.150908669672817
"9","Big_Rideaux",0.0766212475720541,0.59180918000886,0.758741388945734,0.251078665333121,0.168463560751502,0.0867287719771813,0.10302707622246
"10","Bluffpoint",0.0406212965486736,0.95407629915971,0.196430911081049,0.10413187432523,0.197234065280705,0.0535570137050393,0.0522495651670338
"11","Burntroot",0.0863591945666782,0.349031107932561,0.718033697457985,0.131141558721755,0.218621474862729,0.112342013214574,0.0425793853430658
"12","Canoe",0.0320407138391023,0.80537639729376,0.152286468640031,0.0446901850313367,0.24186546584631,0.0860631902557832,0.0251854388423864
"13","Canoe_K",0.0394219793691605,0.707294239450841,0.199534939808311,0.0939271505626036,0.190498702687181,0.0524778527605274,0.0387316166086416
"14","Carling",0.0140455179143186,0.51214358704959,0.112592097850533,0.0338044200420162,0.102293007067645,0.042392345976333,0.0368091582651565
"15","Catchacoma",0.191382032628604,1.02367512005298,0.717432222087958,0.269918556622782,0.32161089273447,0.152749896590192,0.153012958467024
"16","Catfish",0.0390916262567745,0.34723596973465,0.224969037955007,0.0611732734943423,0.13657994272028,0.0784819004359511,0.0204934204155436
"17","Cecil",0.126078780872733,0.62318956448231,0.846101822171674,0.384400767829012,0.231153831549024,0.113967136933943,0.0817044048449884
"18","Charleston",0.0563319361647468,1.07500143211399,0.289300078221752,0.159543259740789,0.176749184214829,0.0747126032517797,0.102548360982558
"19","Cirrus",0.0256840363190129,0.90549767039827,0.144632278206515,0.0722574014842561,0.157488410304061,0.0611522252286645,0.0652424193720904
"20","Cliff",0.0555470005522348,0.86244895537996,0.431466987841423,0.17807425785037,0.164473840718766,0.0739446017893368,0.0928432584308215
"21","Confusion",0.0930655643397152,0.91377906413288,0.501057511852174,0.208846412131505,0.240948569864483,0.0836473506727238,0.0799543746472927
"22","Conifer",0.107381881675565,0.92551187612969,0.608285455296824,0.237590967322571,0.247158052588906,0.0972323995368157,0.104505227688679
"23","Cross",0.00946461873597607,0.232174654181801,0.135913658818409,0.021079136578265,0.0733646979208584,0.0360896846104452,0.0170246239744888
"24","Crystal",0.0316341634435513,0.45637074068192,0.367958832440837,0.0834066016215003,0.137375425367977,0.0449577641800359,0.0431705550236524
"25","Cucumber",0.0950689324770244,1.15762061834079,0.360370716510903,0.15494784942014,0.319992957813753,0.119012489759555,0.0838219290980712
"26","Deer",0.0493095126342804,0.977879105132789,0.310030649191698,0.170890743746118,0.159596059718744,0.0769505770537581,0.113885283925409
"27","Delaney",0.0262888501333777,0.459573188325431,0.281596756280929,0.0727799851317297,0.116013785123245,0.0373564431454118,0.0305651951870246
"28","Dogpaw",0.0274518391169132,0.3289856724791,0.412157876490705,0.0736553100333861,0.115858994816868,0.0522682751327986,0.0339241668371588
"29","Dryberry",0.0867434673163018,0.80346697060831,0.344996835353049,0.214188435374092,0.239083716696948,0.0823107806495991,0.072439560724059
"30","Eagle",0.265176582119951,1.38773692023151,0.61853685170235,0.571578005139298,0.432189180999315,0.130533626600598,0.18356776079414
"31","Eagle-1",0.0496429164981066,0.34841787461253,0.497324703015534,0.105017127000053,0.142102322069457,0.0822289723879896,0.0736088838245484
"32","Endikai",0.0136673591617284,0.30629331601965,0.114184888170927,0.0270049028092165,0.096621289004685,0.0294059368615248,0.0174497650245879
"33","Eva",0.02536524217659,0.458961404171441,0.300638898758753,0.0762611308281982,0.103162732718161,0.0519087604867879,0.0636465363276419
"34","Factor",0.0351606184764301,0.7174356851067,0.147210066096678,0.0607236362976029,0.208535908627417,0.0534420096678697,0.00963937683335826
"35","George",0.0522737331979301,0.43823529411764,0.329594584082844,0.0722199897475635,0.14658948199294,0.0580502486439223,0.097885574869522
"36","Gilmour",0.0495510184266858,0.37653443138657,0.428038724092906,0.0709306515928483,0.164484692898362,0.0839848378241441,0.0635401449103488
"37","Hogan",0.377706371713249,1.23696221948221,0.833131835690386,0.476325987539673,0.393745780646572,0.244210011618389,0.252822336695987
"38","Johnnie",0.0621765467873275,0.37941176470588,0.653319051164302,0.123938467059109,0.143869865931805,0.0749122700278399,0.138707369705843
