SIA SAM,FISH,WBY,REGION,YEAR,DAY,TAXON,COMP,FLEN,TLEN,RWT,Tissue,Check,Del 15N,Del 13C,C/N,Comments
9441,3,Anima Nipissing,.,2012,.,LT,1,355,396,475,MUSCLE,V,9.7,-26.16,3.29,.
9442,482,Anima Nipissing,.,2012,.,LT,1,503,557,1540,MUSCLE,V,8.89,-27.26,4.05,.
9444,709,Anima Nipissing,.,2012,.,LT,1,425,471,880,MUSCLE,V,9.8,-27.97,3.43,.
9445,710,Anima Nipissing,.,2012,.,LT,1,322,354,310,MUSCLE,V,9.44,-27.46,3.35,.
9446,716,Anima Nipissing,.,2012,.,LT,1,730,805,5400,MUSCLE,V,9.36,-26.46,4.66,.
9447,735,Anima Nipissing,.,2012,.,LT,1,555,617,2180,MUSCLE,V,9.41,-27.78,3.69,.
9448,1014,Anima Nipissing,.,2012,.,LT,1,246,274,134,MUSCLE,V,10.28,-25.33,3.27,.
9449,1017,Anima Nipissing,.,2012,.,LT,1,264,292,170,MUSCLE,V,10.46,-26.09,3.32,.
11338,.,Anima Nipissing,.,2012,.,CLAM,1,.,94,57.4,MUSCLE,V,3.68,-29.96,3.71,.
11339,.,Anima Nipissing,.,2012,.,CLAM,1,.,88,38.6,MUSCLE,V,3.7,-30.6,4.17,.
11340,.,Anima Nipissing,.,2012,.,CLAM,1,.,79,19.6,MUSCLE,V,3.93,-30.14,4.14,.
11341,.,Anima Nipissing,.,2012,.,CLAM,1,.,82,24.4,MUSCLE,V,3.97,-30.31,4.05,.
11342,.,Anima Nipissing,.,2012,.,CLAM,1,.,71,15.9,MUSCLE,V,3.42,-29.82,3.73,.
11343,.,Anima Nipissing,.,2012,.,CLAM,1,.,77,23.4,MUSCLE,V,3.53,-30.61,3.92,.
11344,.,Anima Nipissing,.,2012,.,CLAM,1,.,58,8.2,MUSCLE,V,3.4,-29.88,3.91,.
11345,.,Anima Nipissing,.,2012,.,CLAM,1,.,59,5.8,MUSCLE,V,2.7,-28.77,3.66,.
11346,.,Anima Nipissing,.,2012,.,CLAM,1,.,61,6.5,MUSCLE,V,3.08,-30.37,4.63,.
11347,.,Anima Nipissing,.,2012,.,CLAM,1,.,40,2.8,MUSCLE,V,2.72,-29.77,3.38,.
12021,01-01-001,Anima Nipissing,.,2014,23-Jun,LT,1,.,582,1700,MUSCLE,V,9.15,-26.26,4.67,.
12022,16-01-001,Anima Nipissing,.,2014,23-Jun,LT,1,.,547,1350,MUSCLE,V,9.94,-27.08,3.5,.
12023,18-01-001,Anima Nipissing,.,2014,23-Jun,LT,1,.,834,6900,MUSCLE,V,9.96,-28.65,4.8,.
12024,18-02-009,Anima Nipissing,.,2014,23-Jun,LT,1,.,516,1100,MUSCLE,V,10.19,-27.3,3.32,.
12025,41-02-005,Anima Nipissing,.,2014,23-Jun,LT,1,.,453,725,MUSCLE,V,9.12,-25.46,3.19,.
16730,22,Anima Nipissing,.,2016,03-Aug,LT,1,436,480,930,MUSCLE,V,9.13,-25.23,3.28,.
16731,23,Anima Nipissing,.,2016,03-Aug,LT,1,496,550,1350,MUSCLE,V,9.55,-24.79,3.44,.
17429,113-00-001,Bad Vermilion,.,2016,10-Jul,LT,1,.,709,2622,MUSCLE,V,11.16,-24.21,3.2,.
17430,120-00-001,Bad Vermilion,.,2016,10-Jul,LT,1,.,593,1955,MUSCLE,V,10.55,-25.62,3.84,.
17431,210-00-001,Bad Vermilion,.,2016,10-Jul,LT,1,.,511,1182,MUSCLE,V,10.87,-26.4,3.7,.
