,Estimate,Std. Error,t value,Pr(>|t|),Term,Response,Std_Error,Stat_Value,P_Value,Adj_R2,Dev_Expl,AIC
1,3.208,0.575013316,5.578358177,1.04E-06,(Intercept),mean_TP,0.575,5.578,0,0.075,11.20%,26.09
2,0.071,0.030065218,2.376944404,0.02140627,summer_air_temp_mean,mean_TP,0.03,2.377,0.021,,,
3,0.019,0.029903554,0.637695973,0.526640447,log_area_ha,mean_TP,0.03,0.638,0.527,,,
4,edf = 0,,,,s(sampling_year_mean),mean_TP,,F = 0,0.345,,,
5,2.317,1.564440483,1.480909624,0.145032705,(Intercept),mean_PNC,1.564,1.481,0.145,0.237,26.70%,129.73
6,-0.278,0.081442212,-3.411238701,0.00130411,summer_air_temp_mean,mean_PNC,0.081,-3.411,0.001,,,
7,0.211,0.0810043,2.599974928,0.012287652,log_area_ha,mean_PNC,0.081,2.6,0.012,,,
8,edf = 0,,,,s(sampling_year_mean),mean_PNC,,F = 0,0.064,,,
9,-0.623,0.888916185,-0.70133373,0.486412402,(Intercept),dTP,0.889,-0.701,0.486,-0.009,3%,71.39
10,-0.015,0.046477983,-0.328122133,0.744217347,summer_air_temp,dTP,0.046,-0.328,0.744,,,
11,0.056,0.046228065,1.200913849,0.235557752,log_area_ha,dTP,0.046,1.201,0.236,,,
12,edf = 0,,,,s(sampling_year),dTP,,F = 0,0.645,,,
13,-0.188,1.133716446,-0.166209611,0.868675935,(Intercept),dPNC,1.134,-0.166,0.869,0.073,10.90%,96.69
14,-0.1,0.05927764,-1.693126683,0.096780705,summer_air_temp,dPNC,0.059,-1.693,0.097,,,
15,0.107,0.058958896,1.816848399,0.075359045,log_area_ha,dPNC,0.059,1.817,0.075,,,
16,edf = 0,,,,s(sampling_year),dPNC,,F = 0,0.048,,,
17,128.385,70.67286623,1.816603584,0.075495591,(Intercept),SEAc,70.673,1.817,0.075,0.07,12.10%,124.61
18,-0.076,0.076858683,-0.991448128,0.326415484,summer_air_temp,SEAc,0.077,-0.991,0.326,,,
19,0.142,0.079662212,1.779071178,0.081531112,log_area_ha,SEAc,0.08,1.779,0.082,,,
20,edf = 0.77,,,,s(sampling_year),SEAc,,F = 3.44,0.04,,,
21,-2.667,1.222506659,-2.181712311,0.033956675,(Intercept),SDNND,1.223,-2.182,0.034,0.074,11%,104.53
22,-0.068,0.063920136,-1.062708825,0.29312356,summer_air_temp,SDNND,0.064,-1.063,0.293,,,
23,0.143,0.063576429,2.255195229,0.028622153,log_area_ha,SDNND,0.064,2.255,0.029,,,
24,edf = 0,,,,s(sampling_year),SDNND,,F = 0,0.213,,,
