"","Estimate","Std. Error","t value","Pr(>|t|)","Term","Response","Std_Error","Stat_Value","P_Value","Adj_R2","Dev_Expl","AIC"
"1","3.599","0.807335364158899","4.45777112242708","0.000164907155985584","(Intercept)","mean_TP","0.807","4.458","0","0.083","18.5%","21.44"
"2","0.071","0.040468522068174","1.75999895351923","0.0911496562663661","summer_air_temp_mean","mean_TP","0.04","1.76","0.091","","",""
"3","-0.05","0.0670892070124686","-0.748021891005937","0.46171448026673","log_area_ha","mean_TP","0.067","-0.748","0.462","","",""
"4","-0.142","0.108682691526684","-1.30677705174673","0.203672235018344","log_lt_cue","mean_TP","0.109","-1.307","0.204","","",""
"5","edf = 0","","","","s(sampling_year_mean)","mean_TP","","F = 0","0.313","","",""
"6","4.562","0.0605903126215647","75.2858542587746","5.09980605780376e-30","(Intercept)","mean_TP_s","0.061","75.286","0","0.083","18.5%","21.44"
"7","edf = 1","","","","s(summer_air_temp_mean)","mean_TP_s","","F = 3.1","0.091","","",""
"8","edf = 1","","","","s(log_area_ha)","mean_TP_s","","F = 0.56","0.462","","",""
"9","edf = 1","","","","s(log_lt_cue)","mean_TP_s","","F = 1.71","0.204","","",""
"10","edf = 0","","","","s(sampling_year_mean)","mean_TP_s","","F = 0","0.313","","",""
"11","0.263","1.75727283143006","0.149520934967319","0.882391987449603","(Intercept)","mean_PNC","1.757","0.15","0.882","0.24","32.4%","65"
"12","-0.214","0.0880851202566424","-2.43041050882158","0.0229272192565229","summer_air_temp_mean","mean_PNC","0.088","-2.43","0.023","","",""
"13","0.351","0.146028581366522","2.40416361556927","0.0242874084742981","log_area_ha","mean_PNC","0.146","2.404","0.024","","",""
"14","-0.056","0.236562331997566","-0.235214350436217","0.816037773943499","log_lt_cue","mean_PNC","0.237","-0.235","0.816","","",""
"15","edf = 0","","","","s(sampling_year_mean)","mean_PNC","","F = 0","0.981","","",""
"16","-0.76","0.131882912361416","-5.76245471331245","6.1275696600162e-06","(Intercept)","mean_PNC_s","0.132","-5.762","0","0.24","32.4%","65"
"17","edf = 1","","","","s(summer_air_temp_mean)","mean_PNC_s","","F = 5.91","0.023","","",""
"18","edf = 1","","","","s(log_area_ha)","mean_PNC_s","","F = 5.78","0.024","","",""
"19","edf = 1","","","","s(log_lt_cue)","mean_PNC_s","","F = 0.06","0.816","","",""
"20","edf = 0","","","","s(sampling_year_mean)","mean_PNC_s","","F = 0","0.981","","",""
"21","-1.544","1.17898846243567","-1.30991422469019","0.202625233617977","(Intercept)","dTP","1.179","-1.31","0.203","0.024","13.2%","42.65"
"22","-0.014","0.0590980174720843","-0.238834876692474","0.813261284674676","summer_air_temp","dTP","0.059","-0.239","0.813","","",""
"23","0.177","0.0979734105814721","1.80350531552886","0.0838780391505937","log_area_ha","dTP","0.098","1.804","0.084","","",""
"24","0.038","0.158714261715218","0.239752611570219","0.812557891986573","log_lt_cue","dTP","0.159","0.24","0.813","","",""
"25","edf = 0","","","","s(sampling_year)","dTP","","F = 0","0.007","","",""
"26","-0.449","0.0884827389935045","-5.07947927014727","3.39900949179692e-05","(Intercept)","dTP_s","0.088","-5.079","0","0.024","13.2%","42.65"
"27","edf = 1","","","","s(summer_air_temp)","dTP_s","","F = 0.06","0.813","","",""
"28","edf = 1","","","","s(log_area_ha)","dTP_s","","F = 3.25","0.084","","",""
"29","edf = 1","","","","s(log_lt_cue)","dTP_s","","F = 0.06","0.813","","",""
"30","edf = 0","","","","s(sampling_year)","dTP_s","","F = 0","0.007","","",""
